,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8
0,-0.035955742,-0.015775532,-0.6193461,0.03057544,0.09970325,1.2094958,-0.008974388,0.09964779
1,0.3657178,0.18590194,-1.4781849,-0.015630003,-0.03454056,0.17345208,0.020451099,-0.10503337
2,0.21100172,0.02798748,0.060306676,-0.02430534,-0.13920163,-1.7097847,0.017047737,-0.09788692
3,0.17134309,0.031591035,0.75947946,-0.059955698,-0.2534377,-3.053548,0.03460158,-0.24473868
4,0.22981715,0.08234471,-0.5743756,-0.015691552,-0.072558776,-0.6589137,0.015905607,-0.0831835
5,-0.3729804,-0.21380472,1.2499079,0.024418749,0.028218865,-0.3023581,-0.013993997,0.106779486
6,0.16652864,0.047362737,-0.722234,0.0069497824,0.0016670525,0.13702562,0.0037881918,0.010572344
7,0.26369044,0.07505111,-0.41062838,-0.021185167,-0.108041815,-1.15446,0.01773953,-0.09698483
8,0.031255126,-0.0072024316,-0.015890375,-0.0037048087,-0.037732527,-0.484242,0.0071019046,-0.028616667
9,0.18543041,0.08669473,-0.9884796,0.0035568327,0.013531968,0.44931373,0.007478293,-0.01577434
10,0.10741052,0.036386743,-0.4547451,-0.0010161251,-0.017768364,-0.101511545,0.007552903,-0.024677992
11,-0.07277043,-0.054509312,-0.14920996,0.023837887,0.057038143,0.5392472,-0.0076317005,0.083489895
12,0.1634781,0.054058596,-0.898599,0.012940407,0.029289797,0.50789523,0.0013622306,0.030946344
13,0.18048617,0.055448815,-0.6110016,-0.0020928234,-0.029051915,-0.21187846,0.008405212,-0.026128352
14,-0.33432037,-0.20962054,1.3531228,0.017093673,-0.006623827,-0.7405951,-0.010676045,0.081887454
15,0.07847205,0.014792696,-0.35963106,0.0036029369,-0.008781731,-0.068173364,0.004411448,-0.0020476878
16,0.37762132,0.10656979,-0.37376523,-0.037506744,-0.1771771,-1.9471059,0.02612698,-0.15737393
17,0.32729903,0.10972187,-0.46899253,-0.033484846,-0.1452342,-1.5002131,0.024923926,-0.1500259
18,0.38596818,0.14941475,-0.9734734,-0.025711589,-0.104626894,-0.86901736,0.02291695,-0.12708202
19,0.2561033,0.092364065,-0.90492976,-0.0038025677,-0.02986971,-0.113415346,0.010564666,-0.036840737
20,0.1548438,0.03640329,-0.46698993,-0.0009959266,-0.031846296,-0.31319222,0.007049661,-0.017857373
21,0.30006394,0.10486388,-0.25988072,-0.04149178,-0.16970773,-1.7985625,0.028729653,-0.18334861
22,0.070026994,0.038586363,-0.84650254,0.01793366,0.06352492,0.9322439,-0.00093003735,0.043417007
23,0.35592762,0.11066212,-0.6946227,-0.023047872,-0.11536206,-1.1554315,0.019722866,-0.105410725
24,0.32202426,0.10677961,-0.7972016,-0.015937839,-0.0824883,-0.7438218,0.016474903,-0.08080578
25,0.073987275,-0.0057367682,-0.22663625,0.0056040585,-0.015749872,-0.24516706,0.0023199618,0.013371974
