index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
0,10,30,100,-3.0,0.1,4,0.8769835936271415
1,8,50,100,-3.0,1.0,2,0.9412945651768265
2,7,20,130,-3.0,0.1,4,0.909408535012207
4,6,30,100,-2.0,0.5,4,0.9132791034789758
5,7,50,90,-3.0,0.5,2,0.8941610170542945
6,5,60,130,-2.0,0.5,3,0.914292124571569
7,9,60,90,-2.0,0.1,3,0.7941109193295446
8,4,40,130,-3.0,0.5,4,0.8942667615743364
9,8,60,90,-3.0,1.0,4,0.6330465429629886
10,4,20,90,-2.0,0.1,4,0.922317878465687
12,2,60,100,-3.0,1.0,5,0.7893162720962579
13,6,20,100,-3.0,0.5,5,0.8912933449347151
14,4,60,130,-3.0,1.0,5,0.8673931932729171
15,5,50,150,-3.0,0.1,5,0.8709986311959081
16,10,60,90,-3.0,0.1,4,0.8029155871716642
17,2,30,120,-2.0,0.1,5,0.8685062424943384
18,6,30,120,-3.0,0.5,5,0.8260176514395838
19,4,20,100,-3.0,1.0,2,0.9528597075889991
21,4,20,130,-3.0,0.5,4,0.898814454998818
22,5,50,110,-2.0,1.0,4,0.863598669337905
23,9,20,110,-3.0,0.1,5,0.8299713970620667
24,8,40,130,-3.0,0.1,3,0.8987396626562985
25,5,60,140,-2.0,0.5,5,0.8146577385233562
26,2,60,120,-3.0,1.0,5,0.698742460943867
27,7,40,120,-3.0,0.5,5,0.8758087199138692
28,10,50,110,-3.0,0.5,2,0.9421498013093035
29,7,30,140,-3.0,0.5,2,0.9616746866840495
31,7,20,100,-3.0,0.1,4,0.9168977941772705
32,4,30,100,-2.0,0.1,4,0.895481647297178
33,7,30,90,-2.0,1.0,2,0.948599250607457
34,2,30,130,-2.0,0.1,5,0.8764863204349067
35,5,20,100,-3.0,1.0,2,0.9244323661186489
37,9,50,120,-3.0,1.0,3,0.9016463171359665
38,2,60,130,-3.0,0.5,5,0.8374297972518838
39,6,30,120,-2.0,0.5,3,0.9026898037733977
40,10,60,100,-3.0,1.0,4,0.801990875844265
41,7,60,100,-2.0,0.1,4,0.8025652323632527
42,10,20,150,-3.0,1.0,2,0.9525706288466878
44,2,40,150,-3.0,0.1,5,0.8996694352740504
45,3,20,120,-3.0,0.1,4,0.8925590808331494
47,6,60,120,-2.0,0.5,5,0.8255791520176503
48,8,30,140,-2.0,0.1,4,0.8298392161867468
49,4,40,120,-2.0,1.0,4,0.711221360030921
50,10,30,110,-3.0,1.0,5,0.882205531191941
51,9,40,120,-2.0,0.1,5,0.842220738569042
52,10,20,110,-2.0,0.1,4,0.8556221832720768
53,5,60,150,-3.0,0.5,4,0.8317199677411556
54,2,20,90,-3.0,1.0,2,0.9662154656911482
55,10,60,90,-3.0,1.0,3,0.8863669657280495
56,6,50,100,-2.0,0.1,5,0.7349189863737763
57,7,30,120,-2.0,1.0,4,0.788954187704021
59,10,50,120,-3.0,0.1,2,0.8627903746373686
60,9,60,120,-3.0,0.1,3,0.8478274039476714
61,5,30,100,-3.0,0.5,4,0.8528643766073574
63,5,30,130,-2.0,1.0,2,0.9365444412641277
64,9,60,100,-3.0,0.1,3,0.8737085730334861
65,8,30,110,-3.0,0.1,3,0.8087307843837297
66,9,50,90,-2.0,0.5,4,0.7773156977058862
67,6,40,100,-2.0,0.1,4,0.8465001410925093
68,8,40,120,-3.0,0.5,4,0.8514331069764649
69,2,50,150,-2.0,0.5,5,0.7635639911396185
70,8,50,90,-3.0,0.5,5,0.8196940308483576
71,7,60,150,-3.0,0.5,5,0.8110868942439879
72,7,60,110,-3.0,0.1,4,0.853900747547519
73,2,20,100,-3.0,0.1,5,0.8735242375429842
74,5,50,130,-2.0,1.0,5,0.8029562221644497
75,5,30,130,-2.0,0.1,2,0.9106286158503523
76,5,20,120,-3.0,0.1,3,0.8874923966641074
78,2,40,90,-3.0,1.0,5,0.900167058077824
79,9,50,90,-3.0,0.1,4,0.7659055868058251
80,5,30,130,-3.0,0.5,4,0.8198476865372891
81,8,60,130,-3.0,1.0,2,0.8932883436941381
83,7,20,120,-3.0,0.5,3,0.7885102285949456
84,6,30,150,-3.0,0.5,5,0.8361409604660147
85,2,20,120,-3.0,0.5,5,0.622078837705095
86,5,30,120,-3.0,0.1,3,0.8930269789690246
87,6,40,100,-2.0,0.5,4,0.9133202606961568
88,6,20,90,-2.0,0.1,3,0.3978941791782038
89,3,40,150,-3.0,0.1,3,0.8545665471925632
90,7,20,110,-3.0,1.0,5,0.8425742763411546
91,8,20,150,-3.0,0.1,4,0.9205151507265577
92,6,40,90,-3.0,0.5,4,0.8960694586380907
94,5,60,100,-3.0,0.5,4,0.8802580289986333
95,5,20,130,-2.0,0.5,5,0.8916060980171033
96,2,20,100,-2.0,0.1,5,0.8516903766977668
98,2,30,120,-3.0,0.1,5,0.9003710375817229
99,10,20,150,-2.0,0.5,2,0.9758995594540034
100,5,60,110,-3.0,1.0,3,0.9115150063675881
102,4,50,110,-3.0,1.0,4,0.9110988744601327
103,7,30,100,-3.0,0.5,2,0.9528973337233192
104,2,30,110,-2.0,1.0,3,0.8642461603718331
105,4,20,120,-2.0,0.5,5,0.784533893071822
106,2,50,100,-3.0,0.5,5,0.7811147747452697
107,5,40,140,-2.0,0.5,2,0.9489347545086859
108,8,60,130,-2.0,0.1,5,0.8471860828937317
109,9,50,140,-3.0,0.1,5,0.7022572949776137
110,9,50,120,-2.0,0.5,4,0.7863431754912817
111,4,50,140,-2.0,0.1,4,0.7882552269464274
112,2,50,120,-3.0,1.0,5,0.9125591328654121
113,7,60,130,-3.0,0.1,4,0.8424697786297144
114,9,50,130,-3.0,0.5,3,0.8528261699454671
115,3,20,150,-3.0,0.1,4,0.8813774214826342
117,7,20,100,-2.0,0.1,3,0.897424685073142
118,8,30,130,-3.0,1.0,5,0.891344558998096
120,3,60,120,-3.0,1.0,4,0.9179476441522414
121,5,30,120,-3.0,1.0,2,0.9039483505681547
123,10,30,130,-3.0,1.0,5,0.8402263112304902
124,3,30,150,-2.0,1.0,4,0.8744689074150003
126,3,50,130,-3.0,1.0,4,0.8558073287199062
127,7,40,140,-3.0,0.1,4,0.8864555161681924
128,3,50,100,-2.0,0.1,4,0.7778198605481939
129,6,60,110,-2.0,0.5,5,0.8514073769302188
130,5,50,120,-3.0,1.0,4,0.8851278002067293
131,5,40,130,-2.0,0.5,5,0.8809240486116585
132,3,20,150,-3.0,0.5,5,0.8667740398320717
133,6,20,100,-2.0,0.1,4,0.8765637794713044
134,6,20,150,-3.0,1.0,5,0.8061472139821706
135,9,30,150,-3.0,1.0,5,0.900521838234049
136,10,20,120,-3.0,0.1,4,0.9047127443168935
